Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
120,521,V,IllinoisChicago,28,27,55,NL,131.5,1315,72
120,522,H,WiscGreenBay,41,37,78,17,17.5,-2200,6.5
120,523,V,WrightState,15,26,41,1.5,1,-125,4
120,524,H,WiscMilwaukee,34,33,67,NL,130,105,67.5
120,525,V,MinnesotaU,25,24,49,129,129.5,115,68
120,526,H,Nebraska,24,28,52,3,2,-135,2
120,527,V,Tennessee,31,35,66,123.5,121.5,265,65.5
120,528,H,SouthCarolina,26,36,62,6.5,7,-325,6
120,529,V,Vanderbilt,26,31,57,124.5,126,4250,67.5
120,530,H,Kentucky,33,32,65,22,21.5,-7750,10.5
120,531,V,Iowa,17,33,50,134,134,450,69.5
120,532,H,Wisconsin,35,47,82,8,10,-575,2
120,533,V,SanDiegoState,41,36,77,9,9.5,-535,1
120,534,H,AirForce,18,27,45,114,116,410,63
120,535,V,UtahState,29,41,70,1,125,110,65.5
120,536,H,Nevada,19,35,54,NL,2,-130,4
121,725,V,Massachusetts,27,29,56,133,131.5,-108,69.5
121,726,H,St.Josephs,27,35,62,pk,pk,-108,pk
121,727,V,NorthCarolina,40,47,87,8,8,-410,3
121,728,H,WakeForest,34,37,71,147,147,330,79
121,729,V,Missouri,31,19,50,126.5,125.5,395,67.5
121,730,H,TexasA&M,24,38,62,9.5,9,-495,8
121,731,V,PennState,28,32,60,133,134,585,71.5
121,732,H,MichiganState,30,36,66,12.5,12,-835,6
121,733,V,Drexel,31,27,58,NL,132,575,73
121,734,H,Hofstra,39,47,86,13.5,12,-775,4.5
121,735,V,MemphisU,23,32,55,127.5,127,170,69
121,736,H,Tulsa,30,43,73,4,4.5,-195,1
121,737,V,William&Mary,44,36,80,8.5,7.5,-340,1
121,738,H,Delaware,32,52,84,NL,140.5,270,77.5
121,739,V,Marquette,24,33,57,128,128.5,250,67.5
121,740,H,St.Johns,26,34,60,6,6.5,-310,3.5
121,741,V,HoustonU,28,26,54,122,123.5,1195,66
121,742,H,Cincinnati,24,43,67,16,15,-1845,10
121,743,V,Ohio,40,42,82,NL,136,110,74.5
121,744,H,BallState,32,41,73,4,2,-130,3.5
121,745,V,Buffalo,45,28,73,NL,154.5,130,83.5
121,746,H,CentralMichigan,38,46,84,3.5,2.5,-150,3
121,747,V,Toledo,24,36,60,NL,134,125,68.5
121,748,H,KentState,27,40,67,1,2.5,-145,0.5
121,749,V,EasternMichigan,26,32,58,NL,118.5,185,0.5
121,750,H,BowlingGreen,37,37,74,4.5,5,-215,65
121,751,V,WesternMichigan,21,48,69,4,4.5,-215,3.5
121,752,H,MiamiOhio,23,35,58,NL,142.5,185,74.5
121,753,V,NCWilmington,20,32,58,NL,128,115,1
121,754,H,CollCharleston,27,25,56,1,2,-135,66.5
121,755,V,Bradley,33,26,59,NL,113.5,180,64
121,756,H,SoIllinois,34,36,70,4,5,-210,3
121,757,V,IndianaState,23,37,60,NL,121,875,64.5
121,758,H,NorthernIowa,31,35,66,13.5,13.5,-1375,6
121,759,V,Evansville,24,41,65,NL,1,-115,0.5
121,760,H,LoyolaChicago,23,33,56,1.5,125.5,-105,65.5
121,761,V,Akron,26,35,61,3.5,4,-190,4
121,762,H,NoIllinois,33,31,64,NL,124.5,165,66
121,763,V,WichitaState,39,37,76,13.5,12.5,-850,6
121,764,H,MissouriSt,33,20,53,NL,122.5,600,68.5
121,765,V,WashingtonState,27,37,64,136.5,136,2500,73
121,766,H,UtahU,46,40,86,22,19,-5000,6.5
121,767,V,MississippiSt,31,47,78,125,128.5,270,69
121,768,H,Auburn,22,49,71,8,7,-330,6.5
121,769,V,TexasTech,25,18,43,126,126.5,860,66.5
121,770,H,OklahomaState,30,33,63,14.5,14,-1210,6.5
121,771,V,Purdue,30,27,57,136,134,140,71.5
121,772,H,Illinois,32,34,66,4.5,3,-160,1
121,773,V,SMU,33,33,66,7,8.5,-435,4.5
121,774,H,Tulane,30,22,52,126.5,127,345,69
121,775,V,Creighton,27,34,61,127,127.5,375,68.5
121,776,H,Butler,35,29,64,11,9,-500,3
121,777,V,SanJoseState,17,19,36,NL,123.5,3500,66
121,778,H,BoiseState,45,41,86,22,21,-8500,7
121,779,V,NewMexico,33,38,71,121,122.5,160,68
121,780,H,UNLV,35,34,69,4,4,-185,1.5
121,781,V,Quinnipiac,24,39,63,NL,124,140,64.5
121,782,H,St.Peter's,24,31,55,4,3,-160,2
121,783,V,Monmouth,42,29,71,NL,1,-115,70
121,784,H,Pennsylvania,23,33,56,pk,128.5,-105,4
121,785,V,OralRoberts,38,28,66,NL,126.5,190,69
121,786,H,DenverU,32,41,73,3,5,-225,3.5
121,787,V,IPFW,18,35,53,NL,138.5,310,2
121,788,H,SouthDakotaSt,42,40,82,10.5,7.5,-390,74
122,509,V,SouthFlorida,20,28,48,124.5,125,475,67
122,510,H,Temple,39,34,73,10.5,10,-600,1.5
122,511,V,NotreDame,38,47,85,9,10.5,-610,3.5
122,512,H,VirginiaTech,28,32,60,NL,138,460,72.5
122,513,V,GeoWashington,41,38,79,7,10.5,-615,3.5
122,514,H,Fordham,27,32,59,123.5,127,465,69.5
122,515,V,CentralFlorida,33,27,60,132,132.5,1150,71.5
122,516,H,Connecticut,39,28,67,16.5,16.5,-1800,8
122,517,V,Xavier,20,40,66,142,141.5,120,2
122,518,H,Providence,32,28,69,3,2,-140,73.5
122,519,V,St.Bonaventure,39,51,100,2,3,-145,4.5
122,520,H,Duquesne,51,39,97,NL,141,125,78
122,521,V,Depaul,36,28,64,145.5,139.5,420,75.5
122,522,H,SetonHall,33,27,60,10.5,9.5,-545,6.5
122,523,V,Towson,22,31,53,NL,130.5,180,68.5
122,524,H,Elon,17,34,51,5,5,-210,3.5
122,525,V,JamesMadison,32,27,59,NL,128.5,250,pk
122,526,H,Northeastern,49,33,82,6.5,7,-310,71
122,527,V,WiscMilwaukee,29,24,53,NL,146,270,75.5
122,528,H,Oakland,28,38,66,7,7,-330,5
122,529,V,Alabama,30,48,91,143.5,143,255,75.5
122,530,H,Arkansas,34,44,93,5.5,7,-315,3
