Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H,,,,
310,650,N,TCU,23,27,50,3,3.5,-170,3,,,,
310,651,N,IowaState,28,45,73,138.5,142,525,75.5,,,,
310,652,N,Oklahoma,36,43,79,12,12,-750,5,,,,
310,653,N,TexasA&M,27,41,68,134.5,132,100,2,,,,
310,654,N,Vanderbilt,37,42,79,2,1,-120,71,,,,
310,307101,N,ArkPineBluff,20,42,62,127.5,126,425,67,,,,
310,307102,N,JacksonState,28,46,74,7,10,-550,4,,,,
310,307103,N,MissValleySt,30,34,64,137.5,141,NL,77,,,,
310,307104,N,PrairieViewA&M,51,40,91,24,26.5,NL,10,,,,
310,307105,V,LoyolaMaryland,42,25,67,132.5,138,150,73.5,,,,
310,307106,H,Army,27,36,63,1.5,3,-170,5,,,,
310,307107,V,Bucknell,35,40,75,153.5,156.5,525,2,,,,
310,307108,H,Colgate,58,47,105,14,11.5,-750,85,,,,
310,307109,N,SELouisiana,22,41,63,148,149,NL,0.5,,,,
310,307110,N,NewOrleansU,38,42,80,5,5,NL,77,,,,
310,307111,N,HoustonBaptist,21,31,52,143.5,145.5,210,75,,,,
310,307112,N,Lamar,35,27,62,6,6,-250,1.5,,,,
311,663,N,BallState,34,45,89,154,155.5,NL,82.5,,,,
311,664,N,Toledo,41,38,91,8,7,NL,2.5,,,,
311,665,N,Ohio,37,48,85,2,3.5,-160,78,,,,
311,666,N,KentState,25,38,63,149,149.5,140,1.5,,,,
311,667,N,MiamiOhio,32,31,63,149.5,151,320,80.5,,,,
311,668,N,Buffalo,40,34,74,7.5,8,-380,2,,,,
311,669,N,BowlingGreen,26,41,67,130.5,155.5,105,2,,,,
311,670,N,Akron,34,40,74,1.5,1,-125,79.5,,,,
311,671,N,MichiganState,30,27,57,130.5,129,105,0.5,,,,
311,672,N,Maryland,34,34,68,1.5,1.5,-125,69,,,,
311,673,N,Minnesota,27,48,75,146,142.5,475,76.5,,,,
311,674,N,OhioState,39,40,79,11.5,11,-650,3.5,,,,
311,675,N,IndianaU,32,18,50,131,129.5,120,69.5,,,,
311,676,N,Rutgers,33,28,61,2,2.5,-140,1.5,,,,
311,677,N,PennState,31,43,74,134.5,134.5,185,0.5,,,,
311,678,N,Wisconsin,41,34,75,6,5.5,-215,72.5,,,,
311,679,N,Syracuse,39,30,69,133,130,NL,71,,,,
311,680,N,Virginia,36,36,72,5.5,5.5,NL,5,,,,
311,681,N,MiamiFlorida,33,33,66,138.5,138.5,400,73,,,,
311,682,N,GeorgiaTech,29,41,70,9,10,-500,6.5,,,,
311,685,N,NorthCarolina,32,49,81,3,4,-170,4,,,,
311,686,N,VirginiaTech,35,38,73,139.5,141,150,75,,,,
311,687,N,Temple,37,34,71,2,3.5,-160,2.5,,,,
311,688,N,SouthFlorida,38,35,73,132,134,140,72.5,,,,
311,689,N,Tulane,37,40,77,127,127,160,70.5,,,,
311,690,N,Tulsa,41,29,70,2.5,4,-180,1,,,,
311,691,N,EastCarolina,27,35,62,133.5,134.5,175,0.5,,,,
311,692,N,CentralFlorida,36,36,72,5.5,4.5,-200,71,,,,
311,693,N,Georgetown,37,35,72,141.5,138.5,250,75,,,,
311,694,N,Villanova,35,36,71,9.5,6.5,-300,5,,,,
311,695,N,SetonHall,33,29,77,1,3,-155,2,,,,
311,696,N,St.Johns,32,30,69,152.5,149.5,135,79,,,,
311,697,N,Butler,26,30,56,136,136,450,72.5,,,,
311,698,N,Creighton,42,45,87,11,10.5,-600,2,,,,
311,699,N,Depaul,22,38,60,134,133.5,NL,71,,,,
311,700,N,Connecticut,45,49,94,13.5,12.5,NL,2.5,,,,
311,701,N,MississippiSt,44,30,74,131,131,150,71.5,,,,
311,702,N,Kentucky,30,43,73,2,3.5,-170,5.5,,,,
311,703,N,Vanderbilt,22,41,63,145.5,145,310,74.5,,,,
311,704,N,Florida,34,35,69,8,8.5,-370,2,,,,
311,705,N,Georgia,33,37,70,152.5,153.5,250,80.5,,,,
311,706,N,Missouri,32,41,73,5.5,6.5,-300,4.5,,,,
311,707,N,SouthCarolina,26,33,59,141.5,140.5,270,74.5,,,,
311,708,N,Mississippi,41,35,76,7,7,-330,0.5,,,,
311,709,N,OklahomaState,30,42,72,151,149.5,135,80,,,,
311,710,N,WestVirginia,36,33,69,2.5,3,-155,0.5,,,,
311,711,N,KansasState,34,34,68,137,136.5,1200,73.5,,,,
311,712,N,Baylor,36,38,74,19.5,20,-3000,11,,,,
311,713,N,Oklahoma,15,47,62,138,135.5,130,3.5,,,,
311,714,N,Kansas,35,34,69,3.5,2,-150,70,,,,
311,715,N,TexasTech,30,36,66,2,1.5,-125,1.5,,,,
311,716,N,Texas,34,33,67,136,134,105,72,,,,
311,717,N,No.Colorado,34,49,83,145,144.5,250,78,,,,
311,718,N,SouthernUtah,46,45,91,5.5,7,-300,1,,,,
311,719,N,MontanaState,37,34,71,2,2.5,-145,70.5,,,,
311,720,N,IdahoState,29,34,63,129.5,131,125,1.5,,,,
311,721,N,NorthernArizona,30,30,60,148.5,149.5,850,78.5,,,,
311,722,N,E.Washington,37,29,66,12.5,15,-1500,7,,,,
311,723,N,Montana,34,46,80,142,143,250,76,,,,
311,724,N,WeberState,34,41,75,6,6.5,-300,4.5,,,,
311,725,N,LongBeachState,35,52,87,138,138.5,625,75,,,,
311,726,N,CalSantaBarb,44,51,95,14,12.5,-950,5.5,,,,
311,727,N,CSBakersfield,29,27,56,4,4,-180,3,,,,
311,728,N,UCDavis,32,26,58,134,132,160,70,,,,
311,729,N,CalPolySLO,27,24,51,127,128,850,68,,,,
311,730,N,CalIrvine,34,24,58,14.5,15,-1500,7,,,,
311,731,N,Hawaii,24,28,52,135,134,185,70,,,,
311,732,N,CalRiverside,26,36,62,6,4,-215,2.5,,,,
311,733,N,ArizonaState,27,46,73,147.5,147.5,NL,76,,,,
311,734,N,Oregon,35,56,91,8.5,9.5,NL,3.5,,,,
311,735,N,OregonState,24,46,83,134,133.5,190,71,,,,
311,736,N,UCLA,34,36,79,5,5.5,-220,0.5,,,,
311,737,N,UtahU,29,42,85,140.5,139,NL,73.5,,,,
