Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
227,715,V,Montana,22,32,54,136.5,136.5,140,0.5
227,716,H,WeberState,30,30,60,2.5,3.5,-160,72
227,717,V,Lehigh,39,43,82,150.5,152,120,80.5
227,718,H,Army,35,37,72,1.5,2,-140,2
228,815,V,PennState,27,30,57,137.5,137,1700,74
228,816,H,MichiganState,52,36,88,17.5,17,-7000,5
228,817,V,MinnesotaU,40,31,71,140.5,142.5,185,77
228,818,H,Illinois,32,52,84,5,5,-215,5.5
228,819,V,Xavier,26,55,81,1.5,2,-135,5
228,820,H,SetonHall,45,45,90,148.5,150,115,80
228,821,V,HoustonU,32,43,75,140,136,425,73
228,822,H,Connecticut,33,35,68,9,9.5,-550,5.5
228,823,V,SaintLouis,32,31,63,140,138,1700,74.5
228,824,H,St.Josephs,35,42,77,18,17,-7000,9
228,825,V,Duke,32,30,62,149,148,100,2
228,826,H,Pittsburgh,39,37,76,pk,1,-120,79.5
228,827,V,St.Johns,24,35,59,146,148.5,1100,80
228,828,H,Creighton,53,47,100,15,15,-2500,3
228,829,V,Tulane,29,24,53,138,137.5,3500,73
228,830,H,SMU,28,46,74,20,19.5,-8500,11
228,831,V,Valparaiso,38,32,70,5.5,5.5,-240,2.5
228,832,H,WiscGreenBay,35,33,68,152,151,200,81.5
228,833,V,IllinoisChicago,46,39,85,142.5,142,1700,79
228,834,H,WiscMilwaukee,44,54,98,17,17,-7000,10.5
228,835,V,Michigan,30,27,57,134.5,134.5,210,70.5
228,836,H,Wisconsin,29,39,68,6,5.5,-250,4.5
228,837,V,Tulsa,47,35,82,1.5,2.5,-140,1
228,838,H,MemphisU,46,46,92,149.5,147,120,80.5
228,839,V,ArizonaState,35,34,69,142.5,145,330,77.5
228,840,H,Colorado,38,41,79,6,8.5,-400,4.5
228,841,V,ColoradoState,33,36,80,150.5,149.5,125,77.5
228,842,H,Nevada,31,38,87,3.5,2.5,-145,1.5
228,843,V,WashingtonState,25,24,49,141,139,525,73.5
228,844,H,OregonState,35,34,69,11.5,11,-750,4
228,845,V,VirginiaTech,37,44,81,152.5,151,160,81
228,846,H,WakeForest,36,38,74,2,4,-180,3.5
228,847,V,USC,30,35,65,150.5,150.5,330,80.5
228,848,H,California,44,43,87,6.5,8,-400,1
228,849,V,WashingtonU,32,41,73,165,167,525,85.5
